fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n_lt_5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,data_year,county_name,fips_full,naics_level,naics_prefix,qp1_usd,ap_usd,emp_noise_label,qp1_noise_label,ap_noise_label
48,201,2382//,G,41788,G,775059,G,3295430,2142,1107.0,361.0,263.0,226.0,95.0,66.0,17.0,7.0,,,,,,2023,"Harris County, TX",48201,4-digit,2382,775059000,3295430000,low,low,low
48,201,23821/,G,18093,G,350395,G,1460628,833,422.0,119.0,110.0,94.0,45.0,33.0,7.0,3.0,,,,,,2023,"Harris County, TX",48201,5-digit,23821,350395000,1460628000,low,low,low
48,201,238210,G,18093,G,350395,G,1460628,833,422.0,119.0,110.0,94.0,45.0,33.0,7.0,3.0,,,,,,2023,"Harris County, TX",48201,6-digit,238210,350395000,1460628000,low,low,low
48,201,23822/,G,19695,G,342114,G,1490439,1187,639.0,227.0,137.0,112.0,38.0,21.0,9.0,4.0,,,,,,2023,"Harris County, TX",48201,5-digit,23822,342114000,1490439000,low,low,low
48,201,238220,G,19695,G,342114,G,1490439,1187,639.0,227.0,137.0,112.0,38.0,21.0,9.0,4.0,,,,,,2023,"Harris County, TX",48201,6-digit,238220,342114000,1490439000,low,low,low
48,201,23829/,G,4000,G,82550,G,344363,122,46.0,15.0,16.0,20.0,12.0,12.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23829,82550000,344363000,low,low,low
48,201,238290,G,4000,G,82550,G,344363,122,46.0,15.0,16.0,20.0,12.0,12.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,238290,82550000,344363000,low,low,low
48,201,2383//,G,16762,G,254079,G,1069268,933,552.0,128.0,102.0,98.0,25.0,21.0,5.0,,,,,,,2023,"Harris County, TX",48201,4-digit,2383,254079000,1069268000,low,low,low
48,201,23831/,G,4195,G,66147,G,283368,215,129.0,24.0,23.0,22.0,8.0,7.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23831,66147000,283368000,low,low,low
48,201,238310,G,4195,G,66147,G,283368,215,129.0,24.0,23.0,22.0,8.0,7.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,238310,66147000,283368000,low,low,low
48,201,23832/,G,6150,H,94263,H,382484,193,110.0,31.0,17.0,22.0,6.0,5.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23832,94263000,382484000,low,medium,medium
48,201,238320,G,6150,H,94263,H,382484,193,110.0,31.0,17.0,22.0,6.0,5.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,238320,94263000,382484000,low,medium,medium
